,Total,0-4 anos,5-9 anos,10-14 anos,15-19 anos,20-24 anos,25-29 anos,30-34 anos,35-39 anos,40-44 anos,45-49 anos,50-54 anos,55-59 anos,60-64 anos,65-69 anos,70-74 anos,75-79 anos,80-84 anos,85 anos y mas,No especificado
1990,14493,324,180,275,1427,2291,2154,1656,1473,1032,932,666,564,412,314,186,145,91,127,244
1991,15128,352,185,290,1606,2575,2243,1725,1467,1050,898,651,531,438,316,215,137,98,78,273
1992,16594,326,150,265,1705,2987,2474,2079,1668,1206,942,744,568,433,287,197,136,83,83,261
1993,16040,301,145,265,1643,2740,2518,1913,1671,1145,936,702,583,390,289,248,130,82,100,239
1994,15839,307,138,254,1615,2824,2340,1927,1542,1116,940,696,573,440,309,210,131,90,82,305
1995,15612,289,123,249,1550,2665,2458,1865,1647,1178,916,687,561,368,292,199,120,84,87,274
1996,14505,298,126,213,1517,2396,2237,1821,1457,1025,942,608,490,371,277,221,113,73,65,255
1997,13552,235,103,209,1412,2259,2004,1631,1416,1048,794,584,489,374,275,177,141,71,79,251
1998,13656,218,127,233,1286,2149,2083,1639,1447,1096,874,593,491,386,278,199,129,67,94,267
1999,12249,236,113,219,1140,1703,1854,1592,1364,984,752,586,447,306,245,200,132,75,84,217
2000,10737,187,93,197,973,1554,1577,1362,1161,864,724,488,419,315,233,169,132,59,79,151
2001,10285,200,99,198,981,1528,1495,1226,1130,836,663,494,358,270,226,194,118,66,60,143
2002,10088,197,69,164,944,1423,1411,1256,1080,855,698,470,412,294,216,163,110,73,80,173
2003,10087,176,68,158,860,1292,1455,1333,1070,880,728,517,404,274,232,167,119,97,76,181
2004,9329,165,56,146,777,1262,1278,1238,1072,896,598,474,376,259,210,154,104,81,67,116
2005,9921,177,75,182,814,1313,1382,1284,1092,874,682,515,395,320,220,157,119,63,73,184
2006,10452,179,66,159,849,1312,1410,1453,1210,971,724,559,399,301,228,191,111,62,69,199
2007,8867,126,57,115,704,1081,1192,1235,1100,860,656,512,346,238,166,155,78,51,43,152
2008,14006,155,50,140,1109,1894,2066,2160,1778,1344,1006,659,427,352,239,176,107,69,57,218
2009,19803,232,82,184,1577,2766,3005,2824,2723,1829,1281,925,631,423,301,203,134,81,74,528
2010,25757,183,65,194,2234,3812,4125,4052,3375,2309,1606,1096,688,441,317,240,142,69,78,731
2011,27213,166,95,235,2419,3926,4190,3800,3369,2366,1603,1141,738,501,341,221,149,98,115,1740
2012,25967,192,76,249,2413,3870,3792,3506,3042,2293,1571,1095,728,513,358,255,191,85,81,1657
2013,23063,207,79,181,1828,3277,3314,3117,2747,2142,1564,1063,731,543,366,282,170,110,108,1234
2014,20010,191,68,151,1477,2721,2728,2679,2342,1952,1404,958,666,438,366,220,166,108,101,1274
2015,20762,170,73,144,1561,2845,2943,2688,2470,2098,1483,1052,750,495,344,225,167,102,71,1081
2016,24559,128,71,194,1770,3470,3618,3257,2950,2487,1684,1268,869,577,365,240,148,101,80,1282
2017,32079,152,69,234,2403,4626,4857,4548,3972,3293,2233,1499,1019,646,455,294,189,99,58,1433
2018,36685,182,92,193,2562,5069,5649,5058,4545,3745,2686,1769,1094,667,418,255,163,87,77,2374
2019,36661,175,83,203,2452,5194,5956,5327,4414,3693,2756,1738,1120,710,418,269,159,96,67,1831
2020,36773,152,92,212,2362,5083,5650,4969,4244,3529,2627,1754,1125,852,401,252,166,126,102,3075
2021,35700,134,89,220,2290,4947,5358,4997,4262,3421,2625,1752,1035,679,436,256,138,82,81,2898
2022,33287,135,78,199,2274,4259,4912,4583,3904,3218,2467,1671,1068,651,385,235,163,90,94,2901
2023,32252,125,70,186,2002,4116,4863,4695,3887,3159,2400,1694,1140,661,419,240,148,85,51,2311
2024,33550,94,67,199,2204,4294,4888,4944,4063,3332,2532,1815,1200,724,428,244,150,75,71,2226